Month,Distribution channel,Region,Division,Type of product,Total volume,Free of charge (Volume),Sales return volume,Actual sales volume,Sales amount
2024-10-01,GT,North,CAC,Others,223.0,0.0,51.0,121.0,2.165249979
2024-10-01,GT,North,RAC,Non Inverter,885.0,0.0,95.0,695.0,3.032272955
2024-10-01,GT,North,RAC,Inverter,5711.0,4666.0,30.0,985.0,6.236590867
2024-10-01,GT,North,Washing Machine,Dryer Machine,1031.0,1.0,0.0,1030.0,4.635
2024-10-01,GT,North,Washing Machine,Front load,27.0,1.0,0.0,26.0,0.11863637
2024-10-01,GT,North,Washing Machine,Dryer Machine,66.0,0.0,0.0,66.0,0.386999976
2024-10-01,GT,North,Washing Machine,Top load,2063.0,158.0,0.0,1905.0,6.242726745
2024-10-01,GT,North,Television,Small size,330.0,0.0,0.0,330.0,1.60727276
2024-10-01,GT,North,Television,Large size,3874.0,1.0,0.0,3873.0,25.878681114
2024-10-01,GT,North,Refrigerator,Multi doors,77.0,1.0,0.0,76.0,0.684
2024-10-01,GT,North,Refrigerator,Side by Side,55.0,0.0,0.0,55.0,0.46272727
2024-10-01,GT,South,CAC,Others,175.0,0.0,0.0,175.0,3.86997272
2024-10-01,GT,South,RAC,Non Inverter,80.0,0.0,0.0,80.0,0.46318183
2024-10-01,GT,South,RAC,Inverter,3211.0,0.0,0.0,3211.0,18.594227024
2024-10-01,GT,South,Washing Machine,Dryer Machine,10.0,0.0,0.0,10.0,0.045
2024-10-01,GT,South,Washing Machine,Front load,104.0,0.0,0.0,104.0,0.558090906
2024-10-01,GT,South,Washing Machine,Top load,365.0,0.0,0.0,365.0,1.19818172
2024-10-01,GT,South,Television,Small size,448.0,0.0,1.0,446.0,2.155000047
2024-10-01,GT,South,Television,Large size,488.0,0.0,1.0,486.0,3.075499896
2024-10-01,GT,South,Refrigerator,Multi doors,15.0,0.0,0.0,15.0,0.135
2024-10-01,GT,South,Refrigerator,Side by Side,60.0,0.0,0.0,60.0,0.49090908
2024-10-01,GT,Middle,CAC,Others,90.0,20.0,0.0,70.0,1.39381817
2024-10-01,GT,Middle,RAC,Non Inverter,40.0,0.0,0.0,40.0,0.23499999
2024-10-01,GT,Middle,RAC,Inverter,1535.0,0.0,0.0,1535.0,8.757409049
2024-10-01,GT,Middle,Washing Machine,Dryer Machine,345.0,0.0,0.0,345.0,1.5525
2024-10-01,GT,Middle,Washing Machine,Front load,10.0,0.0,0.0,10.0,0.04590909
2024-10-01,GT,Middle,Washing Machine,Top load,203.0,0.0,98.0,7.0,0.385909065
2024-10-01,GT,Middle,Television,Small size,895.0,0.0,0.0,895.0,3.362727005
2024-10-01,GT,Middle,Television,Large size,300.0,0.0,0.0,300.0,2.0045454
2024-10-01,GT,Middle,Refrigerator,Multi doors,89.0,0.0,0.0,89.0,0.801
2024-10-01,GT,Middle,Refrigerator,Side by Side,56.0,0.0,0.0,56.0,0.461363628
2024-10-01,MT,North,CAC,Others,7.0,0.0,0.0,7.0,0.177362185
2024-10-01,MT,North,RAC,Non Inverter,6.0,0.0,0.0,6.0,0.070157454
2024-10-01,MT,North,RAC,Inverter,1138.0,0.0,9.0,1120.0,7.719927375
2024-10-01,MT,North,Washing Machine,Dryer Machine,166.0,0.0,0.0,166.0,0.77467
2024-10-01,MT,North,Washing Machine,Front load,655.0,0.0,1.0,653.0,2.594125785
2024-10-01,MT,North,Washing Machine,Dryer Machine,6.0,0.0,0.0,6.0,0.039229092
2024-10-01,MT,North,Washing Machine,Top load,693.0,0.0,0.0,693.0,2.142988838
